P(Gpa),T (C),FeO total,SiO2 value,TiO2 value,Al2O3 value,Cr2O3 value,MnO value,MgO value,CaO value,Na2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value
5,1490,8.800000191,41.79999924,0.129999995,23.5,1.950000048,0.209999993,19.39999962,5.21999979,0.029999999,54.79999924,0.419999987,23.60000038,3.920000076,0.029999999,2.50999999,7.5,6.400000095,0.5
5,1660,13.39999962,40.40000153,1.190000057,21.89999962,0.170000002,0.270000011,15.60000038,6.900000095,0.159999996,47.29999924,4.099999905,8.199999809,13.80000019,0.200000003,10.5,10.30000019,2.099999905,0.800000012
5,1775,9,41.5,0.699999988,22.70000076,1,0.159999996,17.60000038,6.599999905,0.189999998,44.70000076,3.160000086,8.899999619,11,0.140000001,10.19999981,9.680000305,2.289999962,0.699999988
7.5,1754,13.80000019,41.09999847,1.100000024,20.60000038,0.180000007,0.230000004,15.30000019,7.099999905,0.239999995,48,3.200000048,7.400000095,13.5,0.200000003,10.69999981,10.80000019,2.299999952,0.600000024
7.5,1813,13.30000019,40.40000153,1.159999967,21.10000038,1.5,0.25999999,15.39999962,7.699999809,0.239999995,53.70000076,0.589999974,9.119999886,7.300000191,0.100000001,12.80000019,12.35000038,3.599999905,0.07
10,1986,12.69999981,41.5,1.600000024,20.89999962,0.159999996,0.270000011,16.39999962,6.900000095,0.400000006,44.79999924,5.5,6.199999809,16.60000038,0.219999999,9,8.600000381,2.299999952,1.600000024
1,700,30.45999908,39.43999863,,20.28000069,,5.210000038,2.690000057,1.529999971,0.140000001,68.12999725,0.870000005,13.19999981,7.949999809,,3.24000001,1.230000019,1.210000038,3.869999886
1,750,28.07999992,40,0.409999996,21.35000038,,3.630000114,4.309999943,2.450000048,0.439999998,56.61999893,1.470000029,18.07999992,9.970000267,,5.21999979,0.99000001,1.529999971,6.03000021
1,800,27.52000046,39.09999847,0.310000002,21.57999992,,3.319999933,4.909999847,2.849999905,0.280000001,61.09000015,0.959999979,16.96999931,8.479999542,,2.859999895,3.349999905,1.840000033,4.269999981
1,850,24.48999977,39.00999832,0.629999995,21.92000008,,0.74000001,9.289999962,3.160000086,0.409999996,71.77999878,0.25,16.59000015,1.610000014,,0.639999986,1.529999971,2.599999905,4.460000038
1,900,24.14999962,39.41999817,0.889999986,21.48999977,,0.689999998,9.079999924,3.029999971,0.319999993,72.90000153,0.300000012,15.75,1.179999948,,0.540000021,1.320000052,2.289999962,5.110000134
1.5,700,25.57999992,38.58000183,0.540000021,20.32999992,,3.390000105,3.359999895,6.590000153,0.400000006,60.93000031,1.470000029,14.97000027,9.600000381,,5.289999962,0.74000001,0.949999988,5.480000019
1.5,750,26.40999985,39.43999863,0.579999983,20.82999992,,1.039999962,4.550000191,6.210000038,0.300000012,65.54000092,0.720000029,19,3.549999952,,2.319999933,1.600000024,3.099999905,4.170000076
1.5,800,23.84000015,39.06000137,0.850000024,21.15999985,,2.269999981,4.369999886,7.230000019,0.49000001,68.80000305,0.519999981,16.96999931,2.480000019,,2.140000105,1.269999981,3.920000076,3.480000019
1.5,850,25,38.34999847,1.159999967,20.79999924,,0.589999974,6.829999924,5.559999943,0.330000013,69.69000244,0.379999995,17.05999947,1.950000048,,1.539999962,1.090000033,2.910000086,4.889999866
1.5,900,23.56999969,40.22000122,0.569999993,21.09000015,,1.220000029,7.880000114,3.910000086,0.330000013,73.41000366,0.239999995,15.68000031,0.959999979,,0.379999995,0.949999988,3.069999933,5.210000038
1,800,26.64999962,38.99000168,0.479999989,21.14999962,,2.359999895,5.849999905,3.099999905,0.200000003,72.68000031,0.230000004,15.71000004,1.929999948,,1.00999999,2.279999971,2.440000057,3.109999895
1,900,23.43000031,38.93000031,1.440000057,21.42000008,,0.589999974,10.39000034,2.609999895,0.230000004,72.87000275,0.389999986,14.98999977,1.899999976,,0.839999974,1.75,1.909999967,4.639999866
1.5,800,25.82999992,39.56000137,0.560000002,20.30999947,,1.5,4.25,7.550000191,,70.66999817,0.49000001,16.54999924,1.980000019,,1.590000033,1.00999999,2.940000057,4.369999886
1.5,900,24.45999908,39.61999893,0.829999983,22.11000061,,0.819999993,9,4.860000134,,72.01999664,0.49000001,15.88000011,1.320000052,,0.519999981,1.190000057,3.039999962,5.460000038
1.5,950,24.12000084,39.18999863,1.190000057,20.44000053,,0.930000007,6.309999943,7.659999847,0.100000001,73.16999817,0.300000012,15.02000046,0.889999986,0.02,0.330000013,1.110000014,4.670000076,4.5
2.099999905,940,22.38999939,38.88999939,0.980000019,21,,0.589999974,6.739999771,8.699999809,0.140000001,73,0.209999993,15.73999977,0.5,0.029999999,0.270000011,0.939999998,5.510000229,3.809999943
2.099999905,960,21.40999985,38.79999924,1.220000029,20.85000038,,0.689999998,8.050000191,8.260000229,0.150000006,72.66999817,0.300000012,15.60000038,0.829999983,,0.270000011,1.169999957,5.25,3.910000086
2.099999905,975,22.17000008,39.22000122,1.210000038,20.87999916,,0.709999979,7.699999809,8.100000381,0.119999997,72.62999725,0.209999993,15.85000038,0.699999988,0.100000001,0.230000004,1.120000005,5.199999809,3.950000048
2.099999905,1025,22.51000023,38.77999878,1.269999981,20.62000084,,0.589999974,7.429999828,7.639999866,0.219999999,72.88999939,0.379999995,15.31999969,1.149999976,0.01,0.219999999,0.889999986,4.989999771,4.139999866
2.099999905,1060,22.23999977,39.18000031,1.5,21,,0.50999999,9.260000229,6.559999943,0.140000001,71.25,0.49000001,16.13999939,0.689999998,0.059999999,0.389999986,1.519999981,4.050000191,5.409999847
2.700000048,1025,26.75,37.90999985,0.670000017,21.61000061,,0.649999976,5.610000134,6.710000038,,73.41000366,0.109999999,15.55000019,0.419999987,0.029999999,0.039999999,0.790000021,2.769999981,6.880000114
2.700000048,1075,23.52000046,38.43999863,1.220000029,21.40999985,,0.720000029,8.390000343,5.880000114,,74.86000061,0.100000001,16.44000053,0.419999987,0.02,0.029999999,0.970000029,3.019999981,4.139999866
2.700000048,1100,23.56999969,37.93000031,1.639999986,21.55999947,,0.310000002,9.229999542,5.659999847,,73.80000305,0.289999992,16.56999969,0.779999971,0.029999999,0.109999999,1.090000033,3.039999962,4.300000191
