P(Gpa),T©,Fe2O3 value,converted,FeO value,SiO2 value,TiO2 value,Al2O3 value,Feo total,MnO value,MgO value,CaO value,Na2O value,K2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value,H2O value
0.208800003,866,,0,14.10999966,46.47999954,2.150000095,9.25,14.10999966,0.360000014,13.78999996,10.18999958,2.119999886,0.310000002,74.15000153,0.379999995,14.67000008,1.950000048,0.100000001,0.280000001,2.029999971,3.779999971,2.660000086,6.989999771
0.208800003,866,,0,13.98999977,45.27999878,2.029999971,9.06000042,13.98999977,0.200000003,13.5,10.90999985,2.170000076,0.379999995,74.16999817,0.310000002,14.30000019,1.860000014,0.090000004,0.25999999,1.919999957,4.03000021,3.069999933,5.820000172
0.224999994,899,,0,12.43999958,45.63999939,1.960000038,10.56000042,12.43999958,0.219999999,13.85999966,10.75,2.200000048,0.370000005,68.05000305,0.370000005,16.69000053,3.339999914,0.079999998,1.080000043,3.960000038,4.610000134,1.820000052,6.960000038
0.224999994,899,,0,8.170000076,47.66999817,1.690000057,10.14999962,8.170000076,0.300000012,17.31999969,10.27000046,2.079999924,0.200000003,68.83999634,0.330000013,16.85000038,2.25999999,0.100000001,1.179999948,4.03000021,4.579999924,1.820000052,6.239999771
0.224999994,899,,0,13.47999954,45.74000168,2.25999999,10.06000042,13.47999954,0.209999993,13.82999992,10.39999962,2.220000029,0.330000013,69.65000153,0.379999995,15.92000008,3.150000095,0.079999998,0.899999976,3.339999914,4.590000153,1.99000001,6.039999962
0.224999994,899,,0,14.21000004,45.11999893,2.579999924,9.550000191,14.21000004,0.219999999,14.15999985,10.92000008,2.160000086,0.330000013,70.76999664,0.469999999,15.25,2.910000086,0.029999999,0.75999999,2.950000048,4.519999981,2.329999924,5.659999847
0.223700002,781,,0,11.43000031,49.38000107,1.149999976,8.369999886,11.43000031,0.430000007,14.57999992,9.829999924,1.639999986,0.370000005,75.59999847,0.230000004,14.64000034,1.179999948,0.029999999,0.310000002,1.840000033,3.49000001,2.690000057,7.659999847
0.223700002,781,,0,12.56000042,49.45999908,1.220000029,7.920000076,12.56000042,0.589999974,16.36000061,8.010000229,1.429999948,0.230000004,76.55999756,0.209999993,13.52000046,1.200000048,0.029999999,0.340000004,1.629999995,3.75999999,2.75,6.519999981
0.388999999,780,,0,12.35000038,47.25,1.019999981,10.48999977,12.35000038,0.400000006,13.26000023,10.14999962,1.820000052,0.400000006,74.94000244,0.090000004,15.43999958,0.879999995,0.059999999,0.25,2.329999924,3.529999971,2.470000029,8.5
0.388999999,780,,0,12.13000011,49.06999969,0.850000024,9.569999695,12.13000011,0.409999996,13.86999989,9.649999619,1.659999967,0.460000008,76.18000031,0.159999996,14.46000004,0.959999979,0.02,0.310000002,1.74000001,3.279999971,2.880000114,8.079999924
0.388999999,780,,0,13.96000004,48.86000061,1.059999943,8.710000038,13.96000004,0.519999981,13.76000023,8.789999962,1.669999957,0.310000002,77.30999756,0.150000006,13.19999981,0.99000001,0.07,0.25,1.570000052,3.349999905,3.099999905,7.269999981
0.5,940,,0,6.260000229,46.18000031,1.269999981,9.779999733,6.260000229,0.449999988,19.32999992,11.46000004,1.830000043,0.140000001,70.94999695,0.540000021,13.85000038,1.360000014,0.200000003,1.75,5.230000019,4.349999905,1.190000057,
1,900,,0,11.97000027,44.88999939,1.549999952,12.72999954,11.97000027,0.289999992,12.56000042,11.68999958,1.659999967,0.129999995,71.34999847,0.280000001,16.09000015,1.299999952,0.100000001,0.600000024,5.559999943,3.529999971,0.639999986,
1.5,1000,,0,16.76000023,40.43999863,3.309999943,14.59000015,16.76000023,0.189999998,8.789999962,11.22999954,3.529999971,0.189999998,68.09999847,0.680000007,19.37000084,1.700000048,0.029999999,0.540000021,3.75999999,4.670000076,0.519999981,
0.5,940,,0,11.36999989,43.56000137,1.899999976,12.28999996,11.36999989,0.189999998,14.85999966,10.92000008,0.159999996,2.160000086,74.34999847,0.340000004,14.31000042,1.110000014,0.119999997,1.049999952,3.75,3.900000095,0.620000005,
1,1000,,0,9.909999847,43.50999832,2.309999943,14.81999969,9.909999847,0.310000002,14.53999996,10.09000015,0.100000001,1.970000029,64.18000031,0.75,19.54999924,2.539999962,0.159999996,1.75999999,7.260000229,2.720000029,0.330000013,
0.400000006,900,,0,7.119999886,44.97000122,0.889999986,10.59000015,7.119999886,0.25999999,16.54000092,11.77999973,1.929999948,0.370000005,68.80000305,0.310000002,17.46999931,1.450000048,0.109999999,1.210000038,4.730000019,4.269999981,1.659999967,8.989999771
0.400000006,900,,0,6.519999981,45.66999817,0.99000001,11.35999966,6.519999981,0.209999993,15.57999992,11.46000004,1.940000057,0.409999996,69.94999695,0.25,16.95999908,1.350000024,0.079999998,0.949999988,4.059999943,4.579999924,1.809999943,8.270000458
0.400000006,900,,0,7.230000019,46.61999893,1.149999976,9.760000229,7.230000019,0.439999998,16.73999977,11.26000023,1.830000043,0.310000002,72.88999939,0.289999992,15.35999966,1.210000038,0.109999999,0.790000021,2.900000095,4.28000021,2.170000076,7.480000019
0.400000006,900,,0,6.309999943,47.72000122,1.220000029,9.31000042,6.309999943,,17.61000061,11.39999962,1.720000029,0.340000004,74.51999664,0.280000001,14.39000034,0.959999979,0.100000001,1.080000043,2.25,4.019999981,2.380000114,6.730000019
0.400000006,950,,0,8.390000343,44.13000107,1.440000057,10.44999981,8.390000343,0.289999992,16.31999969,11.43999958,2.109999895,0.319999993,67.51999664,0.300000012,17.26000023,2.430000067,0.07,1.629999995,4.440000057,4.710000038,1.629999995,6.590000153
